Country Name	gdppc	co2
Aruba	23512.6026	24.67052887
Luxembourg	104965.3061	21.6351358
Saudi Arabia	19262.54768	18.90824847
United Arab Emirates	33893.30351	18.55247271
Australia	52022.1256	17.74084505
United States	48467.51578	17.4431109
Oman	18756.97925	15.59066447
Canada	47448.01322	15.5055134
Kazakhstan	9070.488253	15.22798733
Estonia	14790.82122	13.35457519
Faroe Islands	48530.23385	13.19119923
Russian Federation	10674.99578	11.69434657
Greenland	43988.33249	11.66377295
Palau	10219.9276	11.64126984
Finland	46459.97325	11.54656566
Singapore	47236.96023	11.48769878
"Korea, Rep."	23087.22564	11.43631663
Turkmenistan	4439.200382	11.26147873
Netherlands	50950.03434	11.1556698
Czech Republic	19808.07109	10.76390766
Belgium	44141.87814	10.11963524
Norway	87693.79007	10.10866816
Libya	12064.78069	9.997526326
Cayman Islands	73350.78482	9.835262564
Bermuda	88207.32756	9.347122413
Germany	41531.9342	9.267661332
South Africa	7328.615629	9.17305524
Japan	44507.67639	9.156018256
Israel	30693.59308	9.035223254
Ireland	48715.17686	8.784418074
Poland	12599.53358	8.313376825
Denmark	58041.39844	8.258492419
Austria	46858.04327	8.078585585
United Kingdom	39435.8399	7.84936515
Malaysia	9040.566251	7.781705461
"Iran, Islamic Rep."	6599.660938	7.768594359
Greece	26917.75898	7.540183868
Slovenia	23509.54339	7.485854369
Equatorial Guinea	17288.8596	7.305717547
New Zealand	33700.12604	7.298263038
Cyprus	31023.63833	6.92787243
Italy	36000.52012	6.83837457
"Bahamas, The"	28443.40766	6.725653769
Slovak Republic	16727.29133	6.721959562
"Venezuela, RB"	13825.35809	6.693449564
Belarus	6029.3968	6.64269666
Ukraine	2965.139715	6.641343749
China	4550.453596	6.560520007
Serbia	5735.422857	6.273911614
Malta	21107.36443	6.174949579
Iceland	43024.92349	6.168528586
Andorra	40852.66678	6.122594702
Bulgaria	6809.898984	5.964900206
Antigua and Barbuda	13049.25705	5.956979597
Spain	30502.71971	5.816416366
Bosnia and Herzegovina	4635.517779	5.741760834
"Hong Kong SAR, China"	32549.99823	5.732656673
Turks and Caicos Islands	21028.40814	5.613900796
Sweden	52869.04429	5.547348052
France	40638.334	5.428980862
Barbados	16056.37098	5.237995825
Mongolia	2643.292914	5.081415981
Hungary	13113.52596	5.022311649
Switzerland	74605.72102	5.002174211
Seychelles	10804.68447	4.942709146
Kosovo	3286.557443	4.745655749
Croatia	13923.62858	4.696195978
Argentina	10385.96443	4.606804136
Portugal	22498.69086	4.552752646
Suriname	8255.796859	4.539301232
St. Kitts and Nevis	15508.76811	4.488738371
Nauru	4754.075002	4.3982009
Lithuania	11957.08421	4.348616303
Chile	12808.03459	4.234476106
North Macedonia	4542.899717	4.154446162
Turkey	10672.38925	4.096888453
Mexico	9271.398233	4.069560416
Lebanon	7761.646191	4.047494872
Romania	8209.919456	3.922213561
Montenegro	6682.281158	3.913105317
Thailand	5076.340174	3.852981518
Latvia	11348.40623	3.849593455
Iraq	4657.280426	3.772295829
Uzbekistan	1634.312095	3.647048882
Azerbaijan	5842.805784	3.388225879
Algeria	4480.799271	3.312560602
Mauritius	8000.376432	3.132082534
Cuba	5730.354775	3.038892886
Gabon	8849.3553	2.955473666
Jordan	3690.113268	2.916818597
Tunisia	4141.976353	2.600803611
Maldives	7076.662423	2.556735223
Jamaica	4704.054455	2.548213104
Panama	8082.028459	2.535812986
Grenada	7257.756622	2.450810953
"Egypt, Arab Rep."	2644.817039	2.449400701
Dominica	6967.266654	2.431628996
Ecuador	4633.590358	2.428931904
Marshall Islands	2876.994997	2.407107121
St. Lucia	8540.414378	2.317086481
Botswana	6434.815657	2.299366163
"Macao SAR, China"	52253.15531	2.29605235
Guyana	3033.247725	2.29482304
Dominican Republic	5555.389722	2.168401096
Brazil	11286.24302	2.144736395
St. Vincent and the Grenadines	6292.789487	2.032423445
Peru	5082.354757	2.000399515
Uruguay	11992.01663	1.901575191
Indonesia	3122.362815	1.772951392
Morocco	2839.925168	1.730134712
Moldova	2437.529978	1.723619573
Colombia	6336.709214	1.703569292
Belize	4270.864345	1.671656371
Georgia	3233.295943	1.667568685
Costa Rica	8141.913127	1.653498575
Liechtenstein	141200.38	1.630049453
Vietnam	1317.890706	1.622618922
Albania	4094.350334	1.578573584
Bolivia	1955.461557	1.511526891
Namibia	5318.00694	1.464118206
