Partner	export	gdp	distance
Algeria	1712901470	199367413967	3181.13
Belgium	3151422142	524012714948	2691.1
Bulgaria	2803182333	58815148233	891.53
China	2936261788	10161012758870	6083.43
Egypt	2360734145	271721622290	1508.05
France	6589873896	2857089402048	2803.41
Germany	15118909842	3865759081374	2332.79
Greece	1662638490	247784663293	1117.39
Iran	3259270095	563826247962	1750.98
Iraq	9054612317	212268631248	1055.96
Israel	3407436059	297396080363	898.9
Italy	8473470854	2111901941464	1911.13
Morocco	1657717765	119490103786	3906.23
Netherlands	3864485686	918283870216	2690.54
Poland	3070757801	598166351607	1906.65
Romania	3139187673	214126451996	1145.22
Russian Federation	2734315893	1680005299558	4884.05
Saudi Arabia	2734522344	684993600000	1637.45
Spain	6302134822	1509201534289	3316.2
Sweden	1414291545	573208900097	2712.65
United Arab Emirates	9184156725	387259360109	2447.62
United Kingdom	9603188772	2806903096896	3332.78
USA	8654623120	17304984279400	10153.51
